Time,EMG,ECG,GSR
yyyy/mm/dd hh:mm:ss.000,mV,mV,kOhms
36:00.7,-1.975615711,-1.499048054,1257.458616
36:00.7,-1.975615711,-1.501932919,1257.458616
36:00.7,-1.947920164,-1.490754067,1258.179741
36:00.7,-1.947920164,-1.499408662,1257.458616
36:00.7,-1.920224616,-1.492917716,1258.179741
36:00.7,-1.920224616,-1.492917716,1257.458616
36:00.7,-1.91407005,-1.492917716,1258.179741
36:00.7,-1.91407005,-1.492917716,1258.179741
36:00.7,-1.920224616,-1.48822981,1258.179741
36:00.7,-1.920224616,-1.488951026,1258.179741
36:00.7,-1.932533748,-1.488951026,1258.179741
36:00.7,-1.932533748,-1.488951026,1258.179741
36:00.7,-1.932533748,-1.488951026,1258.901694
36:00.7,-1.932533748,-1.488951026,1258.179741
36:00.7,-1.941765598,-1.488951026,1257.458616
36:00.7,-1.941765598,-1.488951026,1258.179741
36:00.7,-1.947920164,-1.47849339,1258.901694
36:00.7,-1.947920164,-1.480296431,1258.901694
36:00.7,-1.941765598,-1.483541904,1258.901694
36:00.7,-1.941765598,-1.481378255,1258.179741
36:00.7,-1.944842881,-1.479575214,1258.179741
36:00.7,-1.944842881,-1.481017647,1258.179741
36:00.7,-1.960229296,-1.478132782,1258.901694
36:00.7,-1.960229296,-1.475608525,1258.179741
36:00.7,-1.960229296,-1.482099471,1258.179741
36:00.7,-1.960229296,-1.479575214,1258.901694
36:00.7,-1.978692994,-1.483181296,1258.901694
36:00.7,-1.978692994,-1.475247917,1258.901694
36:00.7,-1.978692994,-1.475608525,1258.901694
36:00.7,-1.978692994,-1.475608525,1258.179741
36:00.7,-1.978692994,-1.479575214,1258.901694
36:00.7,-1.963306579,-1.478853998,1258.179741
36:00.7,-1.963306579,-1.479214606,1258.901694
36:00.7,-1.969461145,-1.473084268,1258.901694
36:00.7,-1.969461145,-1.478853998,1258.901694
36:00.7,-1.960229296,-1.477050957,1258.901694
36:00.7,-1.960229296,-1.479575214,1258.901694
36:00.7,-1.950997447,-1.4745267,1258.901694
36:00.7,-1.950997447,-1.4745267,1258.901694
36:00.7,-1.947920164,-1.4745267,1258.901694
36:00.7,-1.947920164,-1.4745267,1259.624476
36:00.7,-1.929456465,-1.46875697,1259.624476
36:00.7,-1.929456465,-1.462626632,1259.624476
36:00.7,-1.929456465,-1.465872105,1258.901694
36:00.7,-1.929456465,-1.472363051,1258.901694
36:00.7,-1.941765598,-1.472363051,1258.901694
36:00.8,-1.941765598,-1.472363051,1259.624476
36:00.8,-1.95407473,-1.472363051,1258.901694
36:00.8,-1.95407473,-1.472363051,1259.624476
36:00.8,-1.963306579,-1.472363051,1258.901694
36:00.8,-1.963306579,-1.474887308,1259.624476
36:00.8,-1.963306579,-1.472363051,1259.624476
36:00.8,-1.963306579,-1.4745267,1259.624476
36:00.8,-1.963306579,-1.474166092,1259.624476
36:00.8,-1.963306579,-1.472363051,1259.624476
36:00.8,-1.957152013,-1.472363051,1258.901694
36:00.8,-1.957152013,-1.472363051,1259.624476
36:00.8,-1.957152013,-1.472363051,1258.901694
36:00.8,-1.957152013,-1.47849339,1258.901694
36:00.8,-1.969461145,-1.476690349,1258.901694
36:00.8,-1.969461145,-1.477050957,1259.624476
36:00.8,-1.981770277,-1.466232713,1259.624476
36:00.8,-1.981770277,-1.466232713,1259.624476
36:00.8,-1.969461145,-1.475608525,1258.901694
36:00.8,-1.969461145,-1.470920619,1259.624476
36:00.8,-1.95407473,-1.467314537,1259.624476
36:00.8,-1.95407473,-1.470920619,1259.624476
36:00.8,-1.95407473,-1.473084268,1259.624476
36:00.8,-1.95407473,-1.468035754,1259.624476
36:00.8,-1.95407473,-1.468035754,1259.624476
36:00.8,-1.966383862,-1.462626632,1258.901694
36:00.8,-1.966383862,-1.470560011,1259.624476
36:00.8,-1.969461145,-1.470920619,1259.624476
36:00.8,-1.969461145,-1.470560011,1259.624476
36:00.8,-1.972538428,-1.470199403,1259.624476
36:00.8,-1.972538428,-1.471281227,1259.624476
36:00.8,-1.98484756,-1.470920619,1260.348088
36:00.8,-1.98484756,-1.470199403,1260.348088
36:00.8,-1.972538428,-1.468396362,1260.348088
36:00.8,-1.972538428,-1.46479028,1259.624476
36:00.8,-1.975615711,-1.469838794,1259.624476
36:00.8,-1.975615711,-1.469838794,1259.624476
36:00.8,-1.98484756,-1.464069064,1260.348088
